ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Armed forces,0110,551011,Air Crew Officers,0,,
Armed forces,0110,551012,Aircraft Launch and Recovery Officers,0,,
Armed forces,0110,551013,Armored Assault Vehicle Officers,0,,
Armed forces,0110,551014,Artillery and Missile Officers,0,,
Armed forces,0110,551015,Command and Control Center Officers,0,,
Armed forces,0110,551016,Infantry Officers,0,,
Armed forces,0110,551017,Special Forces Officers,0,,
Armed forces,0110,551019,"Military Officer Special and Tactical Operations Leaders, All Other",0,,
Armed forces,0110,552011,First-Line Supervisors of Air Crew Members,0,,
Armed forces,0110,552012,First-Line Supervisors of Weapons Specialists/Crew Members,0,,
Armed forces,0110,552013,First-Line Supervisors of All Other Tactical Operations Specialists,0,,
Armed forces,0110,553011,Air Crew Members,0,,
Armed forces,0110,553012,Aircraft Launch and Recovery Specialists,0,,
Armed forces,0110,553013,Armored Assault Vehicle Crew Members,0,,
Armed forces,0110,553014,Artillery and Missile Crew Members,0,,
Armed forces,0110,553015,Command and Control Center Specialists,0,,
Armed forces,0110,553016,Infantry,0,,
Armed forces,0110,553017,Radar and Sonar Technicians,0,,
Armed forces,0110,553018,Special Forces,0,,
Armed forces,0110,553019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",0,,
Armed forces,0110,559010,,2,,
,1100,111021,General and Operations Managers,0,,
Legislators,1110,111031,Legislators,0,,
Senior government officials,1120,111021,General and Operations Managers,0,,
Senior government officials,1120,119161,Emergency Management Directors,0,,
Traditional chiefs and heads of villages,1130,111031,Legislators,0,,
Senior officials of special-interest organizations  ,1140,119151,Social and Community Service Managers,0,,
Senior officials of political-party organisations,1141,111031,Legislators,0,,
"Senior officials of employers', workers' and other economic-interest organisations",1142,119199,"Managers, All Other",0,,
Senior officials of humanitarian and other special-interest organisations,1143,112031,Public Relations and Fundraising Managers,0,,
,1200,111021,General and Operations Managers,0,,
Directors and chief executives,1210,111011,Chief Executives,0,,
"Production and operations department managers in agriculture, hunting, forestry and fishing",1221,119013,"Farmers, Ranchers, and Other Agricultural Managers",0,,
Production and operations department managers in manufacturing,1222,113051,Industrial Production Managers,0,,
Production and operations department managers in manufacturing,1222,119199,"Managers, All Other",0,,
Production and operations department managers in construction,1223,119021,Construction Managers,0,,
Production and operations department managers in wholesale and retail trade,1224,111021,General and Operations Managers,0,,
Production and operations department managers in restaurants and hotels,1225,119051,Food Service Managers,0,,
Production and operations department managers in restaurants and hotels,1225,119081,Lodging Managers,0,,
"Production and operations department managers in transport, storage and communications",1226,113071,"Transportation, Storage, and Distribution Managers",0,,
Production and operations department managers in business services,1227,111021,General and Operations Managers,0,,
Production and operations department managers in business services,1227,119199,"Managers, All Other",0,,
"Production and operations department managers in personal care, cleaning and related services",1228,119131,Postmasters and Mail Superintendents,0,,
Production and operations department managers not elsewhere classified,1229,111021,General and Operations Managers,0,,
Production and operations department managers not elsewhere classified,1229,119031,"Education Administrators, Preschool and Childcare Center/Program",0,1,
Production and operations department managers not elsewhere classified,1229,119033,"Education Administrators, Postsecondary",0,1,
Production and operations department managers not elsewhere classified,1229,119111,Medical and Health Services Managers,0,1,
Production and operations department managers not elsewhere classified,1229,119151,Social and Community Service Managers,0,1,
Production and operations department managers not elsewhere classified,1229,119199,"Managers, All Other",0,,
Production and operations department managers not elsewhere classified,1229,272012,Producers and Directors,0,,
Production and operations department managers not elsewhere classified,1229,272099,"Entertainers and Performers, Sports and Related Workers, All Other",0,1,
Production and operations department managers not elsewhere classified,1229,274032,Film and Video Editors,0,1,
Production and operations department managers not elsewhere classified,1229,274099,"Media and Communication Equipment Workers, All Other",0,1,
Production and operations department managers not elsewhere classified,1229,393099,"Entertainment Attendants and Related Workers, All Other",0,1,
Finance and administration department managers,1231,113031,Financial Managers,0,,
Personnel and industrial relations department managers,1232,113121,Human Resources Managers,0,,
Personnel and industrial relations department managers,1232,113131,Training and Development Managers,0,,
Sales and marketing department managers,1233,112022,Sales Managers,0,,
Advertising and public relations department managers,1234,112011,Advertising and Promotions Managers,0,,
Supply and distribution department managers,1235,113071,"Transportation, Storage, and Distribution Managers",0,,
Computing services department managers,1236,113021,Computer and Information Systems Managers,0,,
Research and development department managers,1237,119041,Architectural and Engineering Managers,0,,
Research and development department managers,1237,119121,Natural Sciences Managers,,,
Research and development department managers,1237,119041,Research and development department managers,1237,,
Other department managers not elsewhere classified,1239,119199,"Managers, All Other",0,,
"General managers in agriculture, hunting, forestry and fishing",1311,119013,"Farmers, Ranchers, and Other Agricultural Managers",0,,
General managers in manufacturing,1312,113051,Industrial Production Managers,0,,
General managers in manufacturing,1312,119199,"Managers, All Other",0,,
General managers in construction,1313,119021,Construction Managers,0,,
General managers in wholesale and retail trade,1314,111021,General and Operations Managers,0,,
General managers of restaurants and hotels,1315,119051,Food Service Managers,0,,
General managers of restaurants and hotels,1315,119081,Lodging Managers,0,,
,,,,,,
"General managers in transport, storage and communications",1316,113071,"Transportation, Storage, and Distribution Managers",0,,
General managers of business services,1317,112021,Marketing Managers,0,1,
General managers of business services,1317,112031,Public Relations and Fundraising Managers,0,1,
General managers of business services,1317,113011,Administrative Services Managers,0,1,
General managers of business services,1317,113021,Computer and Information Systems Managers,0,1,
General managers of business services,1317,113031,Financial Managers,1,1,
General managers of business services,1317,113111,Compensation and Benefits Managers,0,1,
"General managers in personal care, cleaning and related services",1318,113061,Purchasing Managers,0,,
General managers not elsewhere classified,1319,119031,"Education Administrators, Preschool and Childcare Center/Program",0,,
General managers not elsewhere classified,1319,119032,"Education Administrators, Elementary and Secondary School",0,,
General managers not elsewhere classified,1319,119039,"Education Administrators, All Other",0,,
General managers not elsewhere classified,1319,119071,Gaming Managers,0,,
General managers not elsewhere classified,1319,119111,Medical and Health Services Managers,0,,
General managers not elsewhere classified,1319,119121,Natural Sciences Managers,0,,
General managers not elsewhere classified,1319,119151,Social and Community Service Managers,0,,
General managers not elsewhere classified,1319,119199,"Managers, All Other",0,,
Physicists and astronomers,2111,192011,Astronomers,0,,
Physicists and astronomers,2111,192012,Physicists,0,,
Physicists and astronomers,2111,192099,"Physical Scientists, All Other",0,,
Meteorologists,2112,192021,Atmospheric and Space Scientists,0,,
Meteorologists,2112,192099,"Physical Scientists, All Other",0,,
Chemists,2113,192031,Chemists,0,,
Chemists,2113,192032,Materials Scientists,0,,
Chemists,2113,192099,"Physical Scientists, All Other",0,,
,,,,,,
Geologists and geophysicists,2114,192042,"Geoscientists, Except Hydrologists and Geographers",0,,
Geologists and geophysicists,2114,192043,Hydrologists,0,,
Geologists and geophysicists,2114,192099,"Physical Scientists, All Other",0,,
Mathematicians and related professionals,2121,152021,Mathematicians,0,,
Statisticians,2122,152011,Actuaries,0,,
Statisticians,2122,152031,Operations Research Analysts,0,,
Statisticians,2122,152041,Statisticians,0,,
Statisticians,2122,193022,Survey Researchers,0,,
,2130,151121,Computer Systems Analysts,0,,
Computer systems designers and analysts,2131,151111,Computer and Information Research Scientists,0,,
Computer systems designers and analysts,2131,151121,Computer Systems Analysts,0,,
Computer systems designers and analysts,2131,151132,"Software Developers, Applications",0,,
Computer systems designers and analysts,2131,151133,"Software Developers, Systems Software",0,,
Computer systems designers and analysts,2131,151134,Web Developers,0,,
Computer systems designers and analysts,2131,151141,Database Administrators,0,,
Computer systems designers and analysts,2131,151142,Network and Computer Systems Administrators,0,,
Computer systems designers and analysts,2131,151143,Computer Network Architects,0,,
Computer systems designers and analysts,2131,151199,"Computer Occupations, All Other",0,,
Computer programmers,2132,151131,Computer Programmers,0,,
Computer programmers,2132,151134,Web Developers,0,,
Computer programmers,2132,151199,"Computer Occupations, All Other",0,,
Computing professionals not elsewhere classified,2139,151122,Information Security Analysts,0,,
Computing professionals not elsewhere classified,2139,151134,Web Developers,0,,
Computing professionals not elsewhere classified,2139,151199,"Computer Occupations, All Other",0,,
"Architects, town and traffic planners",2141,171011,"Architects, Except Landscape and Naval",0,,
"Architects, town and traffic planners",2141,171012,Landscape Architects,0,,
"Architects, town and traffic planners",2141,193051,Urban and Regional Planners,0,,
Civil engineers,2142,172051,Civil Engineers,0,,
Electrical engineers,2143,172071,Electrical Engineers,0,,
Electronics and telecommunications engineers,2144,172061,Computer Hardware Engineers,0,,
Electronics and telecommunications engineers,2144,172072,"Electronics Engineers, Except Computer",0,,
Mechanical engineers,2145,172011,Aerospace Engineers,0,,
Mechanical engineers,2145,172021,Agricultural Engineers,0,,
Mechanical engineers,2145,172121,Marine Engineers and Naval Architects,0,,
Mechanical engineers,2145,172141,Mechanical Engineers,0,,
Chemical engineers,2146,172041,Chemical Engineers,0,,
"Mining engineers, metallurgists and related professionals",2147,172131,Materials Engineers,0,,
"Mining engineers, metallurgists and related professionals",2147,172151,"Mining and Geological Engineers, Including Mining Safety Engineers",0,,
"Mining engineers, metallurgists and related professionals",2147,172171,Petroleum Engineers,0,,
"Mining engineers, metallurgists and related professionals",2147,192032,Materials Scientists,0,,
Cartographers and surveyors,2148,171021,Cartographers and Photogrammetrists,0,,
Cartographers and surveyors,2148,171022,Surveyors,0,,
"Architects, engineers and related professionals not elsewhere classified",2149,172031,Biomedical Engineers,0,,
"Architects, engineers and related professionals not elsewhere classified",2149,172081,Environmental Engineers,0,,
"Architects, engineers and related professionals not elsewhere classified",2149,172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1,,
"Architects, engineers and related professionals not elsewhere classified",2149,172112,Industrial Engineers,0,,
"Architects, engineers and related professionals not elsewhere classified",2149,172131,Materials Engineers,0,,
"Architects, engineers and related professionals not elsewhere classified",2149,172161,Nuclear Engineers,0,,
"Architects, engineers and related professionals not elsewhere classified",2149,172199,"Engineers, All Other",0,,
"Biologists, botanists, zoologists and related professionals",2211,191012,Food Scientists and Technologists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191013,Soil and Plant Scientists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191021,Biochemists and Biophysicists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191022,Microbiologists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191023,Zoologists and Wildlife Biologists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191029,"Biological Scientists, All Other",0,,
"Biologists, botanists, zoologists and related professionals",2211,191031,Conservation Scientists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191041,Epidemiologists,0,,
"Biologists, botanists, zoologists and related professionals",2211,191042,"Medical Scientists, Except Epidemiologists",0,,
"Biologists, botanists, zoologists and related professionals",2211,191099,"Life Scientists, All Other",0,,
"Biologists, botanists, zoologists and related professionals",2211,192041,"Environmental Scientists and Specialists, Including Health",0,,
"Pharmacologists, pathologists and related professionals",2212,191011,Animal Scientists,0,,
"Pharmacologists, pathologists and related professionals",2212,191021,Biochemists and Biophysicists,0,,
"Pharmacologists, pathologists and related professionals",2212,191022,Microbiologists,0,,
"Pharmacologists, pathologists and related professionals",2212,191042,"Medical Scientists, Except Epidemiologists",0,,
"Pharmacologists, pathologists and related professionals",2212,191029,"Biological Scientists, All Other",0,,
,,,,,,
Agronomists and related professionals,2213,191013,Soil and Plant Scientists,1,,
Agronomists and related professionals,2213,191032,Foresters,0,,
,2220,291069,"Physicians and Surgeons, All Other",0,,
Medical doctors,2221,291062,Family and General Practitioners,0,,
Medical doctors,2221,291063,"Internists, General",0,,
Medical doctors,2221,291065,"Pediatricians, General",0,,
Medical doctors,2221,291069,"Physicians and Surgeons, All Other",0,,
Dentists,2222,291021,"Dentists, General",0,,
Dentists,2222,291022,Oral and Maxillofacial Surgeons,0,,
Dentists,2222,291023,Orthodontists,0,,
Dentists,2222,291024,Prosthodontists,0,,
Dentists,2222,291029,"Dentists, All Other Specialists",0,,
Veterinarians,2223,291131,Veterinarians,0,,
Pharmacists,2224,291051,Pharmacists,0,,
Health professionals (except nursing) not elsewhere classified,2229,291129,"Therapists, All Other",0,,
Health professionals (except nursing) not elsewhere classified,2229,299011,Occupational Health and Safety Specialists,0,,
Nursing and midwifery professionals,2230,291141,Registered Nurses,0,,
Nursing and midwifery professionals,2230,291151,Nurse Anesthetists,0,,
Nursing and midwifery professionals,2230,291161,Nurse Midwives,0,,
Nursing and midwifery professionals,2230,291171,Nurse Practitioners,0,,
Nursing and midwifery professionals,2230,292061,Licensed Practical and Licensed Vocational Nurses,0,,
Nursing and midwifery professionals,2230,299099,"Healthcare Practitioners and Technical Workers, All Other",0,,
"College, university and higher education teaching professionals",2310,251011,"Business Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251021,"Computer Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251022,"Mathematical Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251031,"Architecture Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251032,"Engineering Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251041,"Agricultural Sciences Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251042,"Biological Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251043,"Forestry and Conservation Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251052,"Chemistry Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251053,"Environmental Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251054,"Physics Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251061,"Anthropology and Archeology Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251063,"Economics Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251064,"Geography Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251065,"Political Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251066,"Psychology Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251067,"Sociology Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251069,"Social Sciences Teachers, Postsecondary, All Other",0,,
"College, university and higher education teaching professionals",2310,251071,"Health Specialties Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251072,"Nursing Instructors and Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251081,"Education Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251082,"Library Science Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251112,"Law Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251113,"Social Work Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251121,"Art, Drama, and Music Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251122,"Communications Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251123,"English Language and Literature Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251124,"Foreign Language and Literature Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251125,"History Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251126,"Philosophy and Religion Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251191,Graduate Teaching Assistants,0,,
"College, university and higher education teaching professionals",2310,251192,"Home Economics Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251193,"Recreation and Fitness Studies Teachers, Postsecondary",0,,
"College, university and higher education teaching professionals",2310,251199,"Postsecondary Teachers, All Other",0,,
"College, university and higher education teaching professionals",2310,252023,"Career/Technical Education Teachers, Middle School",0,,
"College, university and higher education teaching professionals",2310,252032,"Career/Technical Education Teachers, Secondary School",0,,
Secondary education teaching professionals,2320,251194,"Vocational Education Teachers, Postsecondary",0,,
Secondary education teaching professionals,2320,252031,"Secondary School Teachers, Except Special and Career/Technical Education",0,,
Primary education teaching professionals,2331,252022,"Middle School Teachers, Except Special and Career/Technical Education",0,,
Pre-primary education teaching professionals,2332,252012,"Kindergarten Teachers, Except Special Education",0,,
Special education teaching professionals,2340,252059,"Special Education Teachers, All Other",0,,
Education methods specialists,2351,259031,Instructional Coordinators,0,,
School inspectors,2352,259031,Instructional Coordinators,0,,
Other teaching professionals not elsewhere classified,2359,131151,Training and Development Specialists,0,,
Other teaching professionals not elsewhere classified,2359,253021,Self-Enrichment Education Teachers,1,,
Other teaching professionals not elsewhere classified,2359,253099,"Teachers and Instructors, All Other",0,,
Other teaching professionals not elsewhere classified,2359,259099,"Education, Training, and Library Workers, All Other",0,,
Accountants,2411,132011,Accountants and Auditors,0,,
Accountants,2411,132031,Budget Analysts,0,,
Accountants,2411,132051,Financial Analysts,0,,
Accountants,2411,132082,Tax Preparers,0,,
Personnel and careers professionals,2412,131071,Human Resources Specialists,0,,
Personnel and careers professionals,2412,131075,Labor Relations Specialists,0,,
Personnel and careers professionals,2412,131141,"Compensation, Benefits, and Job Analysis Specialists",0,,
Personnel and careers professionals,2412,131151,Training and Development Specialists,0,,
Personnel and careers professionals,2412,211012,"Educational, Guidance, School, and Vocational Counselors",0,,
Personnel and careers professionals,2412,299011,Occupational Health and Safety Specialists,0,,
Business professionals not elsewhere classified,2419,131081,Logisticians,0,,
Business professionals not elsewhere classified,2419,131111,Management Analysts,0,,
Business professionals not elsewhere classified,2419,131199,"Business Operations Specialists, All Other",0,,
Business professionals not elsewhere classified,2419,132041,Credit Analysts,0,,
Business professionals not elsewhere classified,2419,132051,Financial Analysts,0,,
Business professionals not elsewhere classified,2419,132052,Personal Financial Advisors,0,,
Business professionals not elsewhere classified,2419,132061,Financial Examiners,0,,
Business professionals not elsewhere classified,2419,132099,"Financial Specialists, All Other",0,,
Business professionals not elsewhere classified,2419,273031,Public Relations Specialists,0,,
Business professionals not elsewhere classified,2419,273043,Writers and Authors,0,1,
Lawyers,2421,231011,Lawyers,1,,
Judges,2422,231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0,,
Judges,2422,231023,"Judges, Magistrate Judges, and Magistrates",0,,
Legal professionals not elsewhere classified,2429,231022,"Arbitrators, Mediators, and Conciliators",2,,
,2430,254021,Librarians,0,,
Archivists and curators,2431,254011,Archivists,0,,
Archivists and curators,2431,254012,Curators,0,,
Librarians and related information professionals,2432,254021,Librarians,0,,
Librarians and related information professionals,2432,259011,Audio-Visual and Multimedia Collections Specialists,0,,
,2440,193099,"Social Scientists and Related Workers, All Other",0,,
Economists,2441,193011,Economists,1,,
"Sociologists, anthropologists and related professionals",2442,193041,Sociologists,0,,
"Sociologists, anthropologists and related professionals",2442,193091,Anthropologists and Archeologists,0,,
"Sociologists, anthropologists and related professionals",2442,193092,Geographers,1,,
"Philosophers, historians and political scientists",2443,193093,Historians,0,,
"Philosophers, historians and political scientists",2443,193094,Political Scientists,0,,
"Philosophers, historians and political scientists",2443,193099,"Social Scientists and Related Workers, All Other",0,,
"Philologists, translators and interpreters",2444,193099,"Social Scientists and Related Workers, All Other",0,,
"Philologists, translators and interpreters",2444,273091,Interpreters and Translators,0,,
Psychologists,2445,193031,"Clinical, Counseling, and School Psychologists",0,,
Psychologists,2445,193032,Industrial-Organizational Psychologists,0,,
Psychologists,2445,193039,"Psychologists, All Other",0,,
Social work professionals,2446,211011,Substance Abuse and Behavioral Disorder Counselors,0,,
Social work professionals,2446,211013,Marriage and Family Therapists,0,,
Social work professionals,2446,211014,Mental Health Counselors,0,,
Social work professionals,2446,211015,Rehabilitation Counselors,0,,
Social work professionals,2446,211019,"Counselors, All Other",0,,
Social work professionals,2446,211021,"Child, Family, and School Social Workers",0,,
Social work professionals,2446,211022,Healthcare Social Workers,0,,
Social work professionals,2446,211023,Mental Health and Substance Abuse Social Workers,0,,
Social work professionals,2446,211029,"Social Workers, All Other",0,,
Social work professionals,2446,211092,Probation Officers and Correctional Treatment Specialists,0,,
Social work professionals,2446,211099,"Community and Social Service Specialists, All Other",0,,
"Authors, journalists and other writers",2451,273022,Reporters and Correspondents,0,,
"Authors, journalists and other writers",2451,273031,Public Relations Specialists,0,,
"Authors, journalists and other writers",2451,273041,Editors,0,,
"Authors, journalists and other writers",2451,273042,Technical Writers,0,,
"Authors, journalists and other writers",2451,273043,Writers and Authors,0,,
"Sculptors, painters and related artists",2452,271012,Craft Artists,0,,
"Sculptors, painters and related artists",2452,271013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0,,
"Composers, musicians and singers",2453,272042,Musicians and Singers,1,,
Choreographers and dancers,2454,272032,Choreographers,0,,
"Film, stage and related actors and directors",2455,271011,Art Directors,0,,
"Film, stage and related actors and directors",2455,272011,Actors,0,,
Religious professionals,2460,212011,Clergy,0,,
Religious professionals,2460,212021,"Directors, Religious Activities and Education",0,,
,3110,173029,"Engineering Technicians, Except Drafters, All Other",1,,
Chemical and physical science technicians,3111,194031,Chemical Technicians,0,,
Chemical and physical science technicians,3111,194041,Geological and Petroleum Technicians,0,,
Chemical and physical science technicians,3111,194099,"Life, Physical, and Social Science Technicians, All Other",0,,
Civil engineering technicians,3112,173031,Surveying and Mapping Technicians,0,,
Civil engineering technicians,3112,474011,Construction and Building Inspectors,0,,
Electrical engineering technicians,3113,173023,Electrical and Electronics Engineering Technicians,0,,
Electronics and telecommunications engineering technicians,3114,173023,Electrical and Electronics Engineering Technicians,1,,
Mechanical engineering technicians,3115,173024,Electro-Mechanical Technicians,0,,
Chemical engineering technicians,3116,173029,"Engineering Technicians, Except Drafters, All Other",0,,
Mining and metallurgical technicians,3117,173029,"Engineering Technicians, Except Drafters, All Other",1,,
Draughtspersons,3118,173011,Architectural and Civil Drafters,0,,
Draughtspersons,3118,173012,Electrical and Electronics Drafters,0,,
Draughtspersons,3118,173013,Mechanical Drafters,0,,
Draughtspersons,3118,173019,"Drafters, All Other",0,,
Physical and engineering science technicians not elsewhere classified,3119,173025,Environmental Engineering Technicians,0,,
Physical and engineering science technicians not elsewhere classified,3119,173026,Industrial Engineering Technicians,0,,
Physical and engineering science technicians not elsewhere classified,3119,173029,"Engineering Technicians, Except Drafters, All Other",0,,
Physical and engineering science technicians not elsewhere classified,3119,194051,Nuclear Technicians,0,,
Physical and engineering science technicians not elsewhere classified,3119,194092,Forensic Science Technicians,0,,
Physical and engineering science technicians not elsewhere classified,3119,194099,"Life, Physical, and Social Science Technicians, All Other",0,,
Physical and engineering science technicians not elsewhere classified,3119,536041,Traffic Technicians,0,,
Computer assistants,3121,151142,Network and Computer Systems Administrators,0,,
Computer assistants,3121,151151,Computer User Support Specialists,0,,
Computer assistants,3121,151152,Computer Network Support Specialists,0,,
Computer equipment operators,3122,151134,Web Developers,0,1,
Computer equipment operators,3122,439011,Computer Operators,0,,
Industrial robot controllers,3123,514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0,,
,3130,274011,Audio and Video Equipment Technicians,0,,
Photographers and image and sound recording equipment operators,3131,274012,Broadcast Technicians,0,,
Photographers and image and sound recording equipment operators,3131,274013,Radio Operators,0,,
Photographers and image and sound recording equipment operators,3131,274014,Sound Engineering Technicians,0,,
Photographers and image and sound recording equipment operators,3131,274021,Photographers,0,,
Photographers and image and sound recording equipment operators,3131,274031,"Camera Operators, Television, Video, and Motion Picture",0,,
Photographers and image and sound recording equipment operators,3131,274099,"Media and Communication Equipment Workers, All Other",0,,
Broadcasting and telecommunications equipment operators,3132,173023,Electrical and Electronics Engineering Technicians,0,,
Broadcasting and telecommunications equipment operators,3132,274011,Audio and Video Equipment Technicians,0,,
Medical equipment operators,3133,291124,Radiation Therapists,0,,
Medical equipment operators,3133,292032,Diagnostic Medical Sonographers,0,,
Medical equipment operators,3133,292033,Nuclear Medicine Technologists,0,,
Medical equipment operators,3133,292034,Radiologic Technologists ,0,,
Medical equipment operators,3133,292035,Magnetic Resonance Imaging Technologists,0,,
Ships' engineers,3141,531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,,
Ships' engineers,3141,532022,Airfield Operations Specialists,0,1,
Ships' engineers,3141,535031,Ship Engineers,0,,
Ships' deck officers and pilots,3142,531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,,
Ships' deck officers and pilots,3142,532022,Airfield Operations Specialists,0,1,
Ships' deck officers and pilots,3142,535021,"Captains, Mates, and Pilots of Water Vessels",0,,
,,,,,,
,,,,,,
Air traffic controllers,3144,532021,Air Traffic Controllers,0,,
Air traffic controllers,3144,532022,Airfield Operations Specialists,0,,
Air traffic safety technicians,3145,173023,Electrical and Electronics Engineering Technicians,0,,
Air traffic safety technicians,3145,532022,Airfield Operations Specialists,0,,
,3150,474011,Construction and Building Inspectors,4,,
Building and fire inspectors,3151,173022,Civil Engineering Technicians,0,,
Building and fire inspectors,3151,452011,Agricultural Inspectors,0,1,1
"Safety, health and quality inspectors",3152,173023,Electrical and Electronics Engineering Technicians,0,,
"Safety, health and quality inspectors",3152,173024,Electro-Mechanical Technicians,0,,
"Safety, health and quality inspectors",3152,173027,Mechanical Engineering Technicians,0,,
"Safety, health and quality inspectors",3152,173029,"Engineering Technicians, Except Drafters, All Other",0,,
"Safety, health and quality inspectors",3152,299011,Occupational Health and Safety Specialists,0,,
"Safety, health and quality inspectors",3152,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0,,
Life science technicians,3211,194021,Biological Technicians,0,,
Life science technicians,3211,194091,"Environmental Science and Protection Technicians, Including Health",0,,
Life science technicians,3211,292011,Medical and Clinical Laboratory Technologists,0,,
Life science technicians,3211,292012,Medical and Clinical Laboratory Technicians,0,,
Agronomy and forestry technicians,3212,194011,Agricultural and Food Science Technicians,0,,
Agronomy and forestry technicians,3212,194093,Forest and Conservation Technicians,0,,
Farming and forestry advisers,3213,259021,Farm and Home Management Advisors,0,,
,3220,292099,"Health Technologists and Technicians, All Other",0,,
Medical assistants,3221,211094,Community Health Workers,0,,
Medical assistants,3221,291071,Physician Assistants,0,,
Medical assistants,3221,292057,Ophthalmic Medical Technicians,0,,
Medical assistants,3221,319092,Medical Assistants,0,,
Sanitarians,3222,211091,Health Educators ,0,,
Sanitarians,3222,299012,Occupational Health and Safety Technicians,0,,
Dieticians and nutritionists,3223,291031,Dietitians and Nutritionists,0,,
Optometrists and opticians,3224,291041,Optometrists,0,,
Optometrists and opticians,3224,292081,"Opticians, Dispensing",0,,
Dental assistants,3225,292021,Dental Hygienists,0,,
Dental assistants,3225,319091,Dental Assistants,0,,
Physiotherapists and related associate professionals,3226,291123,Physical Therapists,0,,
Physiotherapists and related associate professionals,3226,291126,Respiratory Therapists,0,,
Physiotherapists and related associate professionals,3226,291128,Exercise Physiologists,0,,
Physiotherapists and related associate professionals,3226,291199,"Health Diagnosing and Treating Practitioners, All Other",1,,
Physiotherapists and related associate professionals,3226,292054,Respiratory Therapy Technicians,0,,
Physiotherapists and related associate professionals,3226,292099,"Health Technologists and Technicians, All Other",0,,
Physiotherapists and related associate professionals,3226,299099,"Healthcare Practitioners and Technical Workers, All Other",0,,
Physiotherapists and related associate professionals,3226,312011,Occupational Therapy Assistants,0,,
Physiotherapists and related associate professionals,3226,312021,Physical Therapist Assistants,0,,
Physiotherapists and related associate professionals,3226,319011,Massage Therapists,0,,
Physiotherapists and related associate professionals,3226,319099,"Healthcare Support Workers, All Other",0,,
Veterinary assistants,3227,292056,Veterinary Technologists and Technicians,0,,
Veterinary assistants,3227,319096,Veterinary Assistants and Laboratory Animal Caretakers,0,,
Pharmaceutical assistants,3228,292052,Pharmacy Technicians,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291011,Chiropractors,0,,
Modern health associate professionals (except nursing) not elsewhere classified,3229,291041,Optometrists,0,,
