ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Other personal services workers not elsewhere classified,5149,399032,Recreation Workers,0,,
Other personal services workers not elsewhere classified,5149,399041,Residential Advisors,0,,
Other personal services workers not elsewhere classified,5149,399099,"Personal Care and Service Workers, All Other",0,,
Astrologers and related workers,5151,272099,"Entertainers and Performers, Sports and Related Workers, All Other",0,,
"Fortune-tellers, palmists and related workers",5152,272099,"Entertainers and Performers, Sports and Related Workers, All Other",0,,
Fire-fighters,5161,331021,First-Line Supervisors of Fire Fighting and Prevention Workers,0,,
Fire-fighters,5161,332011,Firefighters,0,,
Police officers,5162,331012,First-Line Supervisors of Police and Detectives,0,,
Police officers,5162,333051,Police and Sheriff's Patrol Officers,0,,
Police officers,5162,333052,Transit and Railroad Police,0,,
Prison guards,5163,331011,First-Line Supervisors of Correctional Officers,0,,
Prison guards,5163,333012,Correctional Officers and Jailers,0,,
Protective services workers not elsewhere classified,5169,331099,"First-Line Supervisors of Protective Service Workers, All Other",1,,
Protective services workers not elsewhere classified,5169,333031,Fish and Game Wardens,0,,
Protective services workers not elsewhere classified,5169,333041,Parking Enforcement Workers,0,,
Protective services workers not elsewhere classified,5169,339011,Animal Control Workers,0,,
Protective services workers not elsewhere classified,5169,339031,Gaming Surveillance Officers and Gaming Investigators,0,,
Protective services workers not elsewhere classified,5169,339032,Security Guards,0,,
Protective services workers not elsewhere classified,5169,339091,Crossing Guards,0,,
Protective services workers not elsewhere classified,5169,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0,,
Protective services workers not elsewhere classified,5169,339099,"Protective Service Workers, All Other",0,,
Protective services workers not elsewhere classified,5169,435031,"Police, Fire, and Ambulance Dispatchers",0,,
Fashion and other models,5210,419012,Models,0,,
Shop salespersons and demonstrators,5220,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0,,
Shop salespersons and demonstrators,5220,411011,First-Line Supervisors of Retail Sales Workers,0,,
Shop salespersons and demonstrators,5220,412021,Counter and Rental Clerks,0,,
Shop salespersons and demonstrators,5220,412022,Parts Salespersons,0,,
Shop salespersons and demonstrators,5220,412031,Retail Salespersons,0,,
Shop salespersons and demonstrators,5220,419011,Demonstrators and Product Promoters,0,,
Shop salespersons and demonstrators,5220,419099,"Sales and Related Workers, All Other",0,,
Stall and market salespersons,5230,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",0,,
Stall and market salespersons,5230,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,0,,
Stall and market salespersons,5230,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,,
Field crop and vegetable growers,6111,452091,Agricultural Equipment Operators,1,,
Tree and shrub crop growers,6112,452091,Agricultural Equipment Operators,0,,
"Gardeners, horticultural and nursery growers",6113,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0,,
"Gardeners, horticultural and nursery growers",6113,373011,Landscaping and Groundskeeping Workers,0,,
"Gardeners, horticultural and nursery growers",6113,452091,Agricultural Equipment Operators,0,,
Mixed-crop growers,6114,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,,
Dairy and livestock producers,6121,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,,
Poultry producers,6122,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,,
Apiarists and sericulturists,6123,452021,Animal Breeders,0,,
Mixed-animal producers,6124,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1,,
Mixed-animal producers,6124,452021,Animal Breeders,0,,
Market-oriented animal producers and related workers not elsewhere classified,6129,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,,
Market-oriented animal producers and related workers not elsewhere classified,6129,452021,Animal Breeders,0,,
